sample_id,iou_score
r038s010_92,0.6667
r048s016_53,0.5427
r034s007_87,0.5578
r028s008_135,1.0000
r038s047_116,0.6667
r038s064_126,0.0000
r031s032_86,0.7797
r048s016_64,0.6433
r010s008_71,0.7222
r027s048_75,0.6642
r031s035_96,0.6584
r046s007_47,0.8750
r038s071_85,0.6021
r009s025_39,0.4690
r003s012_115,0.4444
r038s089_104,0.3946
r040s086_60,0.5903
r001s017_85,0.4000
r031s035_100,0.5945
r009s007_109,0.0888
r009s053_85,0.4815
r009s005_114,0.4321
r009s075_48,0.6667
r011s014_83,0.6190
r042s025_44,0.5983
r001s006_72,0.0909
r048s006_36,0.6407
r048s012_101,0.4163
r048s012_100,0.4271
r038s078_89,0.6539
r048s006_15,0.7658
r049s005_10,1.0000
r040s044_125,0.2629
r040s067_101,0.0167
r009s085_11,0.6263
r009s103_80,0.3465
r047s018_78,0.5949
r052s032_107,0.6216
r017s116_146,0.3644
r031s001_78,0.4772
r031s012_107,0.6852
r038s043_121,0.7233
r048s008_32,0.4571
r004s028_82,0.6003
r042s008_93,0.7614
r038s043_138,0.4532
r015s001_106,0.6073
r010s022_100,0.6667
r047s044_105,0.5333
r009s058_142,1.0000
r004s028_50,0.3883
r004s025_100,0.2470
r009s007_56,0.7049
r040s024_99,0.6950
r015s016_103,0.7311
r038s043_147,0.3171
r001s010_121,0.5399
r015s001_94,0.6341
r038s061_140,0.7677
r009s036_103,0.6667
r009s090_41,0.5904
r040s064_84,0.3872
r018s001_122,0.4759
r004s025_70,0.4240
r047s031_64,0.3596
r011s030_89,0.3743
r046s008_47,0.5714
r004s011_125,0.5042
r010s014_76,0.9333
r018s012_144,0.5000
r031s005_66,0.6316
r005s031_111,0.6436
r047s050_90,1.0000
r009s085_33,0.4708
r004s010_108,0.0746
r031s022_143,0.6531
r004s004_30,0.6888
r005s074_69,0.4403
r001s010_98,0.8372
r031s019_125,0.3639
r010s014_70,0.7000
r047s041_100,0.5576
r048s008_90,0.4480
r023s008_139,0.6152
r040s024_74,0.6786
r009s053_108,0.6111
r009s032_92,0.2593
r042s033_73,0.8000
r040s086_127,0.6527
r004s029_134,0.4874
r038s084_61,0.2500
r010s027_89,0.0000
r040s086_94,0.7288
r047s001_110,0.4830
r049s018_75,0.0000
r004s025_124,0.0688
r047s013_65,0.8333
r005s074_151,0.7162
r031s020_84,0.0000
r004s015_104,0.4052
r001s012_70,0.6429
r018s012_129,0.2510
r009s067_43,0.0855
r017s104_75,0.4625
r031s023_53,0.2222
r019s004_41,0.6471
r029s007_64,0.3119
r009s038_90,0.4839
r004s030_113,0.6205
r009s048_36,0.0000
r040s054_81,0.7300
r034s039_108,0.7981
r038s056_86,0.6084
r028s002_76,0.3867
r039s002_75,0.5769
r040s037_110,0.0345
r049s007_67,0.7069
r001s001_80,0.7289
r001s018_64,0.7222
r047s016_93,0.2844
r042s035_66,0.6667
r014s002_127,0.7500
r024s011_75,0.5799
r001s026_92,0.2365
r005s068_78,0.8307
r011s030_71,0.7912
r011s021_77,0.7000
r011s012_73,0.5736
r004s004_37,0.8038
r034s015_81,0.6754
r019s009_100,0.6176
r009s121_62,0.7143
r018s012_106,0.3393
r024s005_135,0.4577
r038s043_124,0.7180
r004s020_101,0.6243
r004s019_35,0.0672
r001s008_46,0.0000
r040s054_73,0.8111
r009s055_118,0.7000
r002s008_79,0.6827
r038s010_99,0.7191
r009s087_67,0.4115
r039s002_94,0.6637
r038s067_81,0.1789
r038s067_79,0.6176
r001s013_128,0.4518
r004s010_85,0.3950
r040s024_101,0.6594
r011s034_92,0.6389
r017s106_130,0.3449
r017s106_31,0.6617
r009s008_82,0.4831
r010s027_121,0.8333
r011s030_87,0.4889
r001s020_88,0.4945
r038s010_97,0.6848
r035s012_32,0.4655
r049s025_48,0.6842
r049s011_80,0.5714
r018s012_85,0.5906
r009s007_134,0.5926
r031s020_111,0.2727
r001s012_102,0.1731
r047s013_104,0.6667
r004s002_110,0.6113
r042s025_109,0.3243
r004s020_86,0.7941
r031s020_127,0.3340
r035s012_59,0.2008
r040s086_64,0.5419
r034s012_40,0.6333
r009s062_73,0.8333
r038s071_67,0.5207
r047s027_65,0.4744
r048s018_71,0.1377
r010s032_93,0.5714
r009s064_71,0.6103
r004s011_61,0.6461
r024s002_81,0.4993
r038s089_64,0.7273
r038s084_98,0.4994
r038s061_147,0.4303
r047s013_74,0.6750
r005s031_72,0.6256
r048s043_78,0.6912
r047s044_73,0.6002
r048s012_78,0.7950
r046s008_49,1.0000
r038s084_116,0.5455
r038s022_97,0.4077
r002s009_57,0.4426
r048s016_133,0.6251
r040s067_112,0.3975
r038s061_71,0.6733
r052s019_89,0.4368
r009s103_123,0.3482
r028s009_81,0.4441
r034s022_78,0.8571
r005s081_72,0.5556
r003s010_31,0.0000
r031s029_74,0.7381
r009s096_126,0.6667
r004s010_122,0.2886
r027s048_65,0.5395
r001s010_72,0.3975
r001s029_69,0.6429
r018s007_74,0.7897
r004s004_32,0.7475
r031s035_101,0.5874
r001s017_40,0.7000
r031s012_91,0.4434
r031s031_82,0.5745
r040s078_86,0.6240
r042s008_122,0.6743
r011s008_102,0.7280
r049s025_46,0.3256
r024s018_74,0.4364
r002s008_124,0.4638
r009s018_108,0.4167
r019s010_81,0.5536
r031s012_110,0.7500
r001s010_61,0.3794
r031s022_108,0.7400
r038s016_72,0.2599
r042s021_76,0.5784
r004s015_99,0.5047
r049s011_96,0.6465
r047s031_121,0.3925
r024s018_67,0.5600
r031s022_131,0.6759
